Name,Address,Website,Phone Number,Image URL
Design Proficient UK,"1 Duncannon St, London, WC2N 4JF",designproficient.co.uk,020 3868 7658 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ayn Infotech Private Ltd,"57 Trafalgar Square, London, WC2N 5DU",ayninfotech.com,0118 328 7177 ,"https://c.yell.com/t_bigSquare,f_auto/74017155-c490-497b-96a9-4d0ebe565d4d_image_jpeg.jpg"
Logo in 15 Minutes,"1 Duncannon St, London, WC2N 4JF",logoin15minutes.co.uk,020 3868 1557 ,"https://c.yell.com/t_bigSquare,f_auto/5bc56b92-5eae-49d9-acf4-990ee3e56a28_image_png.png"
Jolly I.T Solutions Ltd,"Adam House 7-10 Adam St, London, WC2N 6AA",jollyit.co.uk,08003 317668 ,"https://c.yell.com/t_bigSquare,f_auto/d5ad5dda-ef41-486b-b31d-895cc05c0a61_image_jpeg.jpg"
The Design Division,"Golden Cross House, 8 Duncannon Street, London, WC2N 4JF",,020 7118 1978 ,"https://c.yell.com/t_bigRect,f_auto/12908b5a-5bde-4b94-b1bf-8ecc9105b465_image_jpeg.jpg"
PCWorkshops,"Golden Cross House Duncannon St, London, WC2N 4JF",pcworkshopslondon.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7164 6359 ,"https://c.yell.com/t_bigRect,f_auto/e2644800-b27f-44c0-b05d-be8ec2e9b901_image_jpeg.jpg"
Infigo Software,"Trafalgar Square, London, WC2N 5DU",infigosoftware.in,07587 048732 ,"https://c.yell.com/t_bigSquare,f_auto/cb43e1f6-8a19-4497-9a94-199734ca577e_image_png.png"
Holbi,"Golden Cross House, 8, Duncannon St, London, WC2N 4JF",holbi.co.uk,0800 011 2569 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
KiloBytes Technologies,"Golden Cross House, 8, Duncannon Street, London, WC2N 4JF",kilobytes.in,0800 0114736 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Websites4you.Co.Uk,"London and South East, WC2E 5JE",,0844 4820430 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
NamanModi,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",namanmodi.com,020 7946 0816 ,"https://c.yell.com/t_bigSquare,f_auto/12998fe3-9820-4162-ae22-6904063ef3c6_image_jpeg.jpg"
Digital Hero,"Trafalgar Square, London, WC2N 5DU",digitalhero.io,020 8089 6881 ,"https://c.yell.com/t_bigSquare,f_auto/bdc1c092-0bba-42dc-bddd-2557b2df968d_image_jpeg.jpg"
3ILogics,"India House, 14, Trafalgar Square, London, WC2N 5DU",3ilogics.com,020 3286 0000 ,"https://c.yell.com/t_bigSquare,f_auto/29b194e2-b58a-4d23-b87e-5a9556a01849_image_png.png"
Joomla Web Development Co,"11 Strand, London, WC2N 5RJ",jextn.com,020 3695 1377 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
ZA IT Solutions,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",zaitsolutions.net,07520 649557 ,"https://c.yell.com/t_bigRect,f_auto/52af7c09-5069-4c39-92ef-004a9e58bbf5_image_png.png"
FIFIUM - Growth of App Designers in Rece,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",fifium.com,0141 628 0625 ,"https://c.yell.com/t_bigSquare,f_auto/6fe8d6eb-8539-47a3-bf5a-94c0596ff139_image_png.png"
CMS Website Design,"1 Northumberland Avenue, London, WC2N 5BW",,0844 588 0805 ,"https://c.yell.com/t_bigSquare,f_auto/3a6651db-d01f-4b11-b393-b42fa80f846e_image_jpeg.jpg"
Service Design London,"55 Chandos Place, London, WC2N 4HG",service-design.london,020 8133 7315 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Aropack Packaging Design,"29-30 Leicester Square, London, WC2H 7LA",aropack.com,0844 545 6508 ,"https://c.yell.com/t_bigRect,f_auto/4ae762cd-a956-4510-b308-762f613110ea_image_jpeg.jpg"
Wappflow,"Trafalgar Square, London, WC2N 5DU",wappflow.co.uk,020 7442 5799 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Patterns of Design,"57 Trafalgar Square, London, WC2N 5DU",patternsofdesign.co.uk,0330 808 5502 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Visionary Logo Designs,"59 St. Martin's Lane Unit 111, Uk, London, WC2N 4JS",visionarylogodesigns.co.uk,020 3925 0749 ,"https://c.yell.com/t_bigSquare,f_auto/e5a839bc-63e9-4160-ae81-33ceebdca551_image_png.png"
24x7 Computers,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",247computers.in,07825 587689 ,"https://c.yell.com/t_bigSquare,f_auto/59daa990-ac0a-4770-8751-689d3c0d6f07_image_jpeg.jpg"
John Fru,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",,0800 075 1234 ,"https://c.yell.com/t_bigSquare,f_auto/51151d9a-d0db-4d5f-aa91-5e2485af2d3d_image_jpeg.jpg"
MR Media Group,"P.O Box 64985, London, SW20 2BD",mrmediagroup.com,020 8123 9800 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Levzi Ltd,"P.O Box 71085, London, SE16 9DS",levzi.com,020 8123 8900 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Iroid Technologies,"57 Trafalgar Square, London, WC2N 5DU",iroidtechnologies.com,020 7486 1053 ,"https://c.yell.com/t_bigRect,f_auto/a8812b0c-35b4-4217-ad31-dcbec85c4fb3_image_png.png"
Engage Branding,"1 Northumberland Avenue, London, WC2N 5BW",engagebranding.com,020 3026 7335 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Kody Technolab,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",kodytechnolab.com,020 7629 0979 ,"https://c.yell.com/t_bigRect,f_auto/c138aff8-fed6-47a2-bd97-a5ca07839e15_image_jpeg.jpg"
Creative Circle,"90 Long Acre, London, WC2E 9LY",creativecircle.co.uk,020 7636 1223 ,"https://c.yell.com/t_bigRect,f_auto/76e8f0c5-f45c-446e-8568-99f864039a5f_image_png.png"
Connaught,"118 Pall Mall, London, SW1Y 5ED",connaught.net,020 7731 0900 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Design Net,"8 Rudolf Place, London, SW8 1RP",thedesignnet.co.uk,020 7820 7771 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Dev Technosys,"60 St. Martin's Lane, London, WC2N 4JS",devtechnosys.com,020 8638 7669 ,"https://c.yell.com/t_bigRect,f_auto/7690f16f-40a8-46ea-ad6b-94b415f9fefe_image_jpeg.jpg"
Icon Make Up Academy,"Central London, London, EC2V 6DN",londonmakeupacademy.co.uk,020 3189 1950 ,"https://c.yell.com/t_bigSquare,f_auto/70a558f4-5411-4968-b55e-07b63ab838d2_image_jpeg.jpg"
Krakow Blog,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",krakow-locally.com,020 8465 5522 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Private Label,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",theprivatelabelexpo.co.uk,020 7946 0859 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Best Web Hosting Company,"Bluehost Website Hosting, London, WC2N 5DU",,07451 279340 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Venda Ltd,"101 St. Martin's Lane, London, WC2N 4AZ",venda.com,020 7070 7000 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Perfect Improvement,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",theperfectimprovement.com,07517 302306 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mashiva Technologies Private Ltd,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",mashivatech.com,020 7331 2000 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bloop Global LLC UK,"Malaysia House, 57, Trafalgar Square, London, WC2N 5DU",bloopglobal.co.uk,020 7097 4892 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
nilkantha.com,"57 Trafalgar Square, London, WC2N 5DU",nilkantha.com,0800 123456 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Owen Gildersleeve Ltd,"Studio F12, London, E8 2DJ",owengildersleeve.com,07932 331841 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
